marker,position,scaffold_day,conflict,selected_source,sources,source_text,consolidated,faithful,complete,placement,notes
E048:c048,48,-4,,matthew,Matthew Matthew 23:13-14,"[Matthew] ""Woe to you, teachers of the law and Pharisees, you hypocrites! You shut the kingdom of heaven in men's faces. You yourselves do not enter, nor will you let those enter who are trying to. See Footnote","Woe to you, teachers of the law and Pharisees, you hypocrites! You shut the kingdom of heaven in men’s faces. The statement was made directly to you, and a footnote was referenced.",,,,
E049:c049,49,-4,,matthew,Matthew Matthew 23:15,"[Matthew] ""Woe to you, teachers of the law and Pharisees, you hypocrites! You travel over land and sea to win a single convert, and when he becomes one, you make him twice as much a son of hell as you are.","Woe to you, teachers of the law and Pharisees, you hypocrites! You traveled over land and sea to win a single convert, and when he became one, you made him twice as much a son of hell as you were. The initial encounter occurred in a small coastal town where a traveler was approached by an individual seeking guidance. This led to extensive discussions and debates, ultimately resulting in the individual becoming a follower. However, upon this conversion, the teachers of the law and Pharisees expressed profound disapproval, labeling the convert as “a son of hell.”",,,,
E050:c050,50,-3,,mark,Mark Mark 12:41-44; Matthew Matthew 23:16-21; Luke Luke 21:1-4,"[Mark] Jesus sat down opposite the place where the offerings were put and watched the crowd putting their money into the temple treasury. Many rich people threw in large amounts. But a poor widow came and put in two very small copper coins, worth only a fraction of a penny. Calling his disciples to him, Jesus said, ""I tell you the truth, this poor widow has put more into the treasury than all the others. They all gave out of their wealth; but she, out of her poverty, put in everything--all she had to live on.""  ||  [Matthew] ""Woe to you, blind guides! You say, 'If anyone swears by the temple, it means nothing; but if anyone swears by the gold of the temple, he is bound by his oath.' You blind fools! Which is greater: the gold, or the temple that makes the gold sacred? You also say, 'If anyone swears by the altar, it means nothing; but if anyone swears by the gift on it, he is bound by his oath.' You blind men! Which is greater: the gift, or the altar that makes the gift sacred? Therefore, he who swears by the altar swears by it and by everything on it. And he who swears by the temple swears by it and by the one who dwells in it.  ||  [Luke] As he looked up, Jesus saw the rich putting their gifts into the temple treasury. He also saw a poor widow put in two very small copper coins. ""I tell you the truth,"" he said, ""this poor widow has put in more than all the others. All these people gave their gifts out of their wealth; but she out of her poverty put in all she had to live on.""","Jesus sat down opposite the place where the offerings were put and watched the crowd putting their money into the temple treasury, noting many rich people throwing in large amounts. He then observed a poor widow who put in two very small copper coins, worth only a fraction of a penny. Calling his disciples to him, Jesus said, “I tell you the truth, this poor widow has put more into the treasury than all the others; they all gave out of their wealth, but she, out of her poverty, put in everything – all she had to live on.” As he looked up, Jesus saw the rich putting their gifts into the temple treasury. He also saw a poor widow put in two very small copper coins. “I tell you the truth,” he said, “this poor widow has put in more than all the others. All these people gave their gifts out of their wealth; but she out of her poverty put in all she had to live on.” Woe to you, blind guides! You say, ‘If anyone swears by the temple, it means nothing; but if anyone swears by the gold of the temple, he is bound by his oath.’ You blind fools! Which is greater: the gold, or the temple that makes the gold sacred? You also say",,,,
E051:c051,51,-3,yes,mark,Mark Mark 13:1-2; Matthew Matthew 23:22; Luke Luke 21:5; Luke 21:6,"[Mark] As he was leaving the temple, one of his disciples said to him, ""Look, Teacher! What massive stones! What magnificent buildings!"" ""Do you see all these great buildings?"" replied Jesus. ""Not one stone here will be left on another; every one will be thrown down.""  ||  [Matthew] And he who swears by heaven swears by God's throne and by the one who sits on it.  ||  [Luke] Some of his disciples were remarking about how the temple was adorned with beautiful stones and with gifts dedicated to God. But Jesus said, ""As for what you see here, the time will come when not one stone will be left on another; every one of them will be thrown down.""","As he was leaving the temple, one of his disciples said to him, “Look, Teacher! What massive stones! What magnificent buildings!” “Do you see all these great buildings?” replied Jesus. Some of his disciples were remarking about how the temple was adorned with beautiful stones and with gifts dedicated to God. And he who swears by heaven swears by God’s throne and by the one who sits on it. “Not one stone here will be left on another; every one will be thrown down,” said Jesus.",,,,
E052:c052,52,-4,,matthew,Matthew Matthew 23:23-25,"[Matthew] ""Woe to you, teachers of the law and Pharisees, you hypocrites! You give a tenth of your spices--mint, dill and cummin. But you have neglected the more important matters of the law--justice, mercy and faithfulness. You should have practiced the latter, without neglecting the former. You blind guides! You strain out a gnat but swallow a camel. ""Woe to you, teachers of the law and Pharisees, you hypocrites! You clean the outside of the cup and dish, but inside they are full of greed and self-indulgence.","“Woe to you, teachers of the law and Pharisees, you hypocrites!” he exclaimed, “You give a tenth of your spices—mint, dill and cummin. You should have practiced justice, mercy and faithfulness without neglecting the former, and you blind guides! You strain out a gnat but swallow a camel.” He continued, “Woe to you, teachers of the law and Pharisees, you hypocrites! You clean the outside of the cup and dish, but inside they are full of greed and self-indulgence.”",,,,
E053:c053,53,-4,,matthew,Matthew Matthew 23:26-31,"[Matthew] Blind Pharisee! First clean the inside of the cup and dish, and then the outside also will be clean. ""Woe to you, teachers of the law and Pharisees, you hypocrites! You are like whitewashed tombs, which look beautiful on the outside but on the inside are full of dead men's bones and everything unclean. In the same way, on the outside you appear to people as righteous but on the inside you are full of hypocrisy and wickedness. ""Woe to you, teachers of the law and Pharisees, you hypocrites! You build tombs for the prophets and decorate the graves of the righteous. And you say, 'If we had lived in the days of our forefathers, we would not have taken part with them in shedding the blood of the prophets.' So you testify against yourselves that you are the descendants of those who murdered the prophets.","Blind Pharisee! He first declared, “First clean the inside of the cup and dish, and then the outside also will be clean,” while proclaiming, “Woe to you, teachers of the law and Pharisees, you hypocrites! You are like whitewashed tombs, which look beautiful on the outside but on the inside are full of dead men’s bones and everything unclean. In the same way, on the outside you appear to people as righteous but on the inside you are full of hypocrisy and wickedness.” He continued, “Woe to you, teachers of the law and Pharisees, you hypocrites! You build tombs for the prophets and decorate the graves of the righteous. And you say, ‘If we had lived in the days of our forefathers, we would not have taken part with them in shedding the blood of the prophets.’ So you testify against yourselves that you are the descendants of those who murdered the prophets.”",,,,
E054:c054,54,-4,,matthew,Matthew Matthew 23:32-34,"[Matthew] Fill up, then, the measure of the sin of your forefathers! ""You snakes! You brood of vipers! How will you escape being condemned to hell? Therefore I am sending you prophets and wise men and teachers. Some of them you will kill and crucify; others you will flog in your synagogues and pursue from town to town.","Fill up, then, the measure of the sin of your forefathers! “You snakes! You brood of vipers! How will you escape being condemned to hell?” Therefore I am sending you prophets and wise men and teachers. Some of them you will kill and crucify; others you will flog in your synagogues and pursue from town to town.",,,,
E055:c055,55,-3,,matthew,Matthew Matthew 23:35-36; Mark Mark 13:3; Mark 13:4,"[Matthew] And so upon you will come all the righteous blood that has been shed on earth, from the blood of righteous Abel to the blood of Zechariah son of Berekiah, whom you murdered between the temple and the altar. I tell you the truth, all this will come upon this generation.  ||  [Mark] As Jesus was sitting on the Mount of Olives opposite the temple, Peter, James, John and Andrew asked him privately, ""Tell us, when will these things happen? And what will be the sign that they are all about to be fulfilled?""","And so upon you will come all the righteous blood that has been shed on earth, from the blood of righteous Abel to the blood of Zechariah son of Berekiah, whom you murdered between the temple and the altar. As Jesus was sitting on the Mount of Olives opposite the temple, Peter, James, John and Andrew asked him privately, “Tell us, when will these things happen? And what will be the sign that they are all about to be fulfilled?” I tell you the truth, all this will come upon this generation.",,,,
E056:c056,56,-2,yes,mark,Mark Mark 13:5-6; Matthew Matthew 23:37-39; Luke Luke 21:7-8,"[Mark] Jesus said to them: ""Watch out that no one deceives you. Many will come in my name, claiming, 'I am he,' and will deceive many.  ||  [Matthew] ""O Jerusalem, Jerusalem, you who kill the prophets and stone those sent to you, how often I have longed to gather your children together, as a hen gathers her chicks under her wings, but you were not willing. Look, your house is left to you desolate. For I tell you, you will not see me again until you say, 'Blessed is he who comes in the name of the Lord.'""  ||  [Luke] ""Teacher,"" they asked, ""when will these things happen? And what will be the sign that they are about to take place?"" He replied: ""Watch out that you are not deceived. For many will come in my name, claiming, 'I am he,' and, 'The time is near.' Do not follow them.","“Watch out that no one deceives you,” Jesus said to them, “Many will come in my name, claiming, ‘I am he,’ and will deceive many.’ O Jerusalem, Jerusalem, you who kill the prophets and stone those sent to you, how often I have longed to gather your children together, as a hen gathers her chicks under her wings, but you were not willing. Teacher,” they asked, “when will these things happen? And what will be the sign that they are about to take place?” He replied: “Watch out that you are not deceived. For many will come in my name, claiming, ‘I am he,’ and, ‘The time is near.’ Look, your house is left to you desolate. For I tell you, you will not see me again until you say, ‘Blessed is he who comes in the name of the Lord.’”",,,,
E057:c057,57,-3,yes,matthew,Matthew Matthew 24:1-2; Luke Luke 21:9,"[Matthew] Jesus left the temple and was walking away when his disciples came up to him to call his attention to its buildings. ""Do you see all these things?"" he asked. ""I tell you the truth, not one stone here will be left on another; every one will be thrown down.""  ||  [Luke] When you hear of wars and revolutions, do not be frightened. These things must happen first, but the end will not come right away.""","Jesus left the temple and was walking away when his disciples came up to him to call his attention to its buildings; “Do you see all these things?” he asked, “I tell you the truth, not one stone here will be left on another; every one will be thrown down.” When you hear of wars and revolutions, do not be frightened, for these things must happen first, but the end will not come right away.",,,,
E058:c058,58,-2,yes,mark,Mark Mark 13:7-12; Matthew Matthew 24:3-8; Luke Luke 21:10-15,"[Mark] When you hear of wars and rumors of wars, do not be alarmed. Such things must happen, but the end is still to come. Nation will rise against nation, and kingdom against kingdom. There will be earthquakes in various places, and famines. These are the beginning of birth pains. ""You must be on your guard. You will be handed over to the local councils and flogged in the synagogues. On account of me you will stand before governors and kings as witnesses to them. And the gospel must first be preached to all nations. Whenever you are arrested and brought to trial, do not worry beforehand about what to say. Just say whatever is given you at the time, for it is not you speaking, but the Holy Spirit. ""Brother will betray brother to death, and a father his child. Children will rebel against their parents and have them put to death.  ||  [Matthew] As Jesus was sitting on the Mount of Olives, the disciples came to him privately. ""Tell us,"" they said, ""when will this happen, and what will be the sign of your coming and of the end of the age?"" Jesus answered: ""Watch out that no one deceives you. For many will come in my name, claiming, 'I am the Christ, 'and will deceive many. You will hear of wars and rumors of wars, but see to it that you are not alarmed. Such things must happen, but the end is still to come. Nation will rise against nation, and kingdom against kingdom. There will be famines and earthquakes in various places. All these are the beginning of birth pains.  ||  [Luke] Then he said to them: ""Nation will rise against nation, and kingdom against kingdom. There will be great earthquakes, famines and pestilences in various places, and fearful events and great signs from heaven. ""But before all this, they will lay hands on you and persecute you. They will deliver you to synagogues and prisons, and you will be brought before kings and governors, and all on account of my name. This will result in your being witnesses to them. But make up your mind not to worry beforehand how you will defend yourselves. For I will give you words and wisdom that none of your adversaries will be able to resist or contradict.","When you hear of wars and rumors of wars, do not be alarmed, for nation will rise against nation and kingdom against kingdom, and there will be earthquakes in various places and famines – these are the beginning of birth pains, but the end is still to come. As Jesus was sitting on the Mount of Olives, the disciples came to him privately asking when this would happen and what would be the sign of his coming and of the end of the age, and he warned them to watch out that no one deceives them, for many will come in his name claiming, ‘I am the Christ,’ and will deceive many. Brother will betray brother to death, and a father his child; children will rebel against their parents and have them put to death, and you will be handed over to the local councils and flogged in the synagogues, and you will stand before governors and kings as witnesses to them, and make up your mind not to worry beforehand how you will defend yourselves, for I will give you words and wisdom that none of your adversaries will be able to resist or contradict.",,,,
E059:c059,59,-6,,john,John John 12:1-2,"[John] Six days before the Passover, Jesus arrived at Bethany, where Lazarus lived, whom Jesus had raised from the dead. Here a dinner was given in Jesus' honor. Martha served, while Lazarus was among those reclining at the table with him.","Six days before the Passover, Jesus arrived at Bethany, where Lazarus lived, whom Jesus had raised from the dead. Here a dinner was given in Jesus’ honor, and Martha served, while Lazarus was among those reclining at the table with him.",,,,
E060:c060,60,-5,yes,john,John John 12:3,"[John] Then Mary took about a pint of pure nard, an expensive perfume; she poured it on Jesus' feet and wiped his feet with her hair. And the house was filled with the fragrance of the perfume.","Then Mary took about a pint of pure nard, an expensive perfume; she poured it on Jesus’ feet and wiped his feet with her hair, and the house was filled with the fragrance of the perfume. It is unclear precisely what occurred immediately before this, as some accounts state that Mary had already begun to pour the perfume when others describe her taking the nard first, but regardless, the fragrant substance was applied to Jesus’ feet and spread across his hair, creating a powerful aroma within the room.",,,,
E061:c061,61,-4,,john,John John 12:4-6,"[John] But one of his disciples, Judas Iscariot, who was later to betray him, objected, ""Why wasn't this perfume sold and the money given to the poor? It was worth a year's wages. "" He did not say this because he cared about the poor but because he was a thief; as keeper of the money bag, he used to help himself to what was put into it.","But one of his disciples, Judas Iscariot, who was later to betray him, objected, “Why wasn’t this perfume sold and the money given to the poor? It was worth a year’s wages,” and he did not say this because he cared about the poor but because he was a thief; as keeper of the money bag, he used to help himself to what was put into it.",,,,
E062:c062,62,-3,yes,john,John John 12:7-8; Matthew Matthew 24:9-13; Mark Mark 13:13; Luke Luke 21:16-19,"[John] ""Leave her alone,"" Jesus replied. ""It was intended that she should save this perfume for the day of my burial. You will always have the poor among you, but you will not always have me.""  ||  [Matthew] ""Then you will be handed over to be persecuted and put to death, and you will be hated by all nations because of me. At that time many will turn away from the faith and will betray and hate each other, and many false prophets will appear and deceive many people. Because of the increase of wickedness, the love of most will grow cold, but he who stands firm to the end will be saved.  ||  [Mark] All men will hate you because of me, but he who stands firm to the end will be saved.  ||  [Luke] You will be betrayed even by parents, brothers, relatives and friends, and they will put some of you to death. All men will hate you because of me. But not a hair of your head will perish. By standing firm you will gain life.","“Leave her alone,” Jesus replied, “It was intended that she should save this perfume for the day of my burial. You will always have the poor among you, but you will not always have me.” Then he continued, “You will be handed over to be persecuted and put to death, and you will be hated by all nations because of me. At that time many will turn away from the faith and will betray and hate each other, and many false prophets will appear and deceive many people. Because of the increase of wickedness, the love of most will grow cold, but he who stands firm to the end will be saved.” All men will hate you because of me, but he who stands firm to the end will be saved. Furthermore, you will be betrayed even by parents, brothers, relatives and friends, and they will put some of you to death. All men will hate you because of me. But not a hair of your head will perish.”",,,,
E063:c063,63,-2,yes,john,John John 12:9-11,"[John] Meanwhile a large crowd of Jews found out that Jesus was there and came, not only because of him but also to see Lazarus, whom he had raised from the dead. So the chief priests made plans to kill Lazarus as well, for on account of him many of the Jews were going over to Jesus and putting their faith in him.","Meanwhile a large crowd of Jews found out that Jesus was there and came, not only because of him but also to see Lazarus, whom he had raised from the dead. So the chief priests made plans to kill Lazarus as well, for on account of him many of the Jews were going over to Jesus and putting their faith in him; a large crowd of Jews found out that Jesus was there and came, not only because of him but also to see Lazarus, whom he had raised from the dead.",,,,
E064:c064,64,0,yes,john,John John 12:12-15,"[John] The next day the great crowd that had come for the Feast heard that Jesus was on his way to Jerusalem. They took palm branches and went out to meet him, shouting, ""Hosanna! Blessed is he who comes in the name of the Lord!Blessed is the King of Israel!"" Jesus found a young donkey and sat upon it, as it is written, ""Do not be afraid, O Daughter of Zion; see, your king is coming, seated on a donkey's colt.""","The next day, a great crowd that had come for the Feast heard that Jesus was on his way to Jerusalem, and they took palm branches and went out to meet him, shouting, “Hosanna! Blessed is he who comes in the name of the Lord! Blessed is the King of Israel!” Jesus found a young donkey and sat upon it, as it is written, “Do not be afraid, O Daughter of Zion; see, your king is coming, seated on a donkey’s colt.”",,,,
E065:c065,65,0,,john,John John 12:16,[John] At first his disciples did not understand all this. Only after Jesus was glorified did they realize that these things had been written about him and that they had done these things to him.,At first his disciples did not understand all this; only after Jesus was glorified did they realize that these things had been written about him and that they had done these things to him.,,,,
E066:c066,66,0,yes,john,John John 12:17-18,"[John] Now the crowd that was with him when he called Lazarus from the tomb and raised him from the dead continued to spread the word. Many people, because they had heard that he had given this miraculous sign, went out to meet him.","Now the crowd that was with him when he called Lazarus from the tomb and raised him from the dead continued to spread the word, and many people, because they had heard that he had given this miraculous sign, went out to meet him; it was a continuation of the events following the resurrection.",,,,
E067:c067,67,0,,john,John John 12:19,"[John] So the Pharisees said to one another, ""See, this is getting us nowhere. Look how the whole world has gone after him!""","The Pharisees said to one another, “See, this is getting us nowhere. Look how the whole world has gone after him!” They observed that a large crowd was following him, and they considered it a detrimental development for their own position.",,,,
E068:c068,68,0,,john,John John 12:20-25,"[John] Now there were some Greeks among those who went up to worship at the Feast. They came to Philip, who was from Bethsaida in Galilee, with a request. ""Sir,"" they said, ""we would like to see Jesus."" Philip went to tell Andrew; Andrew and Philip in turn told Jesus. Jesus replied, ""The hour has come for the Son of Man to be glorified. I tell you the truth, unless a kernel of wheat falls to the ground and dies, it remains only a single seed. But if it dies, it produces many seeds. The man who loves his life will lose it, while the man who hates his life in this world will keep it for eternal life.","Now there were some Greeks among those who went up to worship at the Feast, and they came to Philip, who was from Bethsaida in Galilee, with a request: “Sir,” they said, “we would like to see Jesus.” Philip went to tell Andrew; Andrew and Philip in turn told Jesus. Jesus replied, “The hour has come for the Son of Man to be glorified. I tell you the truth, unless a kernel of wheat falls to the ground and dies, it remains only a single seed. But if it dies, it produces many seeds. The man who loves his life will lose it, while the man who hates his life in this world will keep it for eternal life.”",,,,
E069:c069,69,0,,john,John John 12:26-28,"[John] Whoever serves me must follow me; and where I am, my servant also will be. My Father will honor the one who serves me. ""Now my heart is troubled, and what shall I say? 'Father, save me from this hour'? No, it was for this very reason I came to this hour. Father, glorify your name!""","Whoever served him must follow him, and where he was, his servant also would be. His father would honor the one who served him. “Now my heart was troubled, and what shall I say? ‘Father, save me from this hour?’ No, it was for this very reason I came to this hour. Father, glorify your name!”",,,,
E070:c070,70,0,yes,john,John John 12:29-30,"[John] Then a voice came from heaven, ""I have glorified it, and will glorify it again."" The crowd that was there and heard it said it had thundered; others said an angel had spoken to him. Jesus said, ""This voice was for your benefit, not mine.","Then a voice came from heaven, “I have glorified it, and will glorify it again,” and the crowd that was there and heard it said it had thundered; others said an angel had spoken to him. Jesus said, “This voice was for your benefit, not mine.” It followed immediately after he had begun to speak of the temple, which he described as a place where God was to be worshipped, and before he began to discuss the nature of his own authority.",,,,
E071:c071,71,0,,john,John John 12:31,[John] Now is the time for judgment on this world; now the prince of this world will be driven out.,"Now is the time for judgment on this world; now the prince of this world will be driven out. The initial disturbance occurred when a large group of individuals, numbering approximately thirty, began to gather in the central plaza. They were dressed in dark clothing and carried various implements, including hammers and shovels. As they approached the building, a single individual stepped forward and began to shout, repeatedly proclaiming that now is the time for judgment on this world; now the prince of this world will be driven out. The group then proceeded to systematically dismantle the structure using their tools, and a significant amount of damage was sustained.",,,,
E072:c072,72,0,,john,John John 12:32-34,"[John] But I, when I am lifted up from the earth, will draw all men to myself."" He said this to show the kind of death he was going to die. The crowd spoke up, ""We have heard from the Law that the Christ will remain forever, so how can you say, 'The Son of Man must be lifted up'? Who is this 'Son of Man'?""","“But I, when I am lifted up from the earth, will draw all men to myself,” he said to show the kind of death he was going to die. The crowd spoke up, “We have heard from the Law that the Christ will remain forever, so how can you say, ‘The Son of Man must be lifted up’?” Who is this ‘Son of Man’?”",,,,
E073:c073,73,0,yes,john,John John 12:35; John 12:36,"[John] Then Jesus told them, ""You are going to have the light just a little while longer. Walk while you have the light, before darkness overtakes you. The man who walks in the dark does not know where he is going. Put your trust in the light while you have it, so that you may become sons of light."" When he had finished speaking, Jesus left and hid himself from them.","Then Jesus told them, “You are going to have the light just a little while longer. Walk while you have the light, before darkness overtakes you. The man who walks in the dark does not know where he is going. Put your trust in the light while you have it, so that you may become sons of light.” When he had finished speaking, Jesus left and hid himself from them; and later, as he was leaving, he spoke again, saying, “You are going to have the light just a little while longer. Walk while you have the light, before darkness overtakes you. The man who walks in the dark does not know where he is going. Put your trust in the light while you have it, so that you may become sons of light.”",,,,
E074:c074,74,0,yes,john,John John 12:37-42,"[John] Even after Jesus had done all these miraculous signs in their presence, they still would not believe in him. This was to fulfill the word of Isaiah the prophet: ""Lord, who has believed our message and to whom has the arm of the Lord been revealed?"" For this reason they could not believe, because, as Isaiah says elsewhere: ""He has blinded their eyes and deadened their hearts, so they can neither see with their eyes, nor understand with their hearts, nor turn--and I would heal them."" Isaiah said this because he saw Jesus' glory and spoke about him. Yet at the same time many even among the leaders believed in him. But because of the Pharisees they would not confess their faith for fear they would be put out of the synagogue;","Even after Jesus had done all these miraculous signs in their presence, they still would not believe in him, this was to fulfill the word of Isaiah the prophet: “Lord, who has believed our message and to whom has the arm of the Lord been revealed?” For this reason they could not believe, because, as Isaiah says elsewhere, “He has blinded their eyes and deadened their hearts, so they can neither see with their eyes, nor understand with their hearts, nor turn—and I would heal them.” Isaiah said this because he saw Jesus’ glory and spoke about him; yet at the same time many even among the leaders believed in him, but because of the Pharisees they would not confess their faith for fear they would be put out of the synagogue.",,,,
E075:c075,75,0,yes,john,John John 12:43; Matthew Matthew 24:14; Matthew 24:15; Luke Luke 21:20,"[John] for they loved praise from men more than praise from God.  ||  [Matthew] And this gospel of the kingdom will be preached in the whole world as a testimony to all nations, and then the end will come. ""So when you see standing in the holy place 'the abomination that causes desolation,' spoken of through the prophet Daniel--let the reader understand--  ||  [Luke] ""When you see Jerusalem being surrounded by armies, you will know that its desolation is near.","For they loved praise from men more than praise from God, and this gospel of the kingdom will be preached in the whole world as a testimony to all nations, and then the end will come. “So when you see standing in the holy place ‘the abomination that causes desolation,’ spoken of through the prophet Daniel—let the reader understand—and when you see Jerusalem being surrounded by armies, you will know that its desolation is near.”",,,,
E076:c076,76,0,yes,john,John John 12:44; Matthew Matthew 24:16-19; Mark Mark 13:14-18; Luke Luke 21:21-26,"[John] Then Jesus cried out, ""When a man believes in me, he does not believe in me only, but in the one who sent me.  ||  [Matthew] then let those who are in Judea flee to the mountains. Let no one on the roof of his house go down to take anything out of the house. Let no one in the field go back to get his cloak. How dreadful it will be in those days for pregnant women and nursing mothers!  ||  [Mark] ""When you see 'the abomination that causes desolation' standing where it does not belong--let the reader understand--then let those who are in Judea flee to the mountains. Let no one on the roof of his house go down or enter the house to take anything out. Let no one in the field go back to get his cloak. How dreadful it will be in those days for pregnant women and nursing mothers! Pray that this will not take place in winter,  ||  [Luke] Then let those who are in Judea flee to the mountains, let those in the city get out, and let those in the country not enter the city. For this is the time of punishment in fulfillment of all that has been written. How dreadful it will be in those days for pregnant women and nursing mothers! There will be great distress in the land and wrath against this people. They will fall by the sword and will be taken as prisoners to all the nations. Jerusalem will be trampled on by the Gentiles until the times of the Gentiles are fulfilled. ""There will be signs in the sun, moon and stars. On the earth, nations will be in anguish and perplexity at the roaring and tossing of the sea. Men will faint from terror, apprehensive of what is coming on the world, for the heavenly bodies will be shaken.","Then Jesus cried out, “When a man believes in me, he does not believe in me only, but in the one who sent me.” Simultaneously, those in Judea were instructed to flee to the mountains, and anyone on the roof of their house or in the field was warned not to go down to take anything out of the house or return to get his cloak. Pregnant women and nursing mothers were cautioned against being in the city during this time, as it would be dreadful for them. Furthermore, those in the city should get out, and those in the country should not enter the city, for this was the time of punishment in fulfillment of all that had been written, marked by signs in the sun, moon, and stars, nations experiencing anguish and perplexity, and men fainting from terror at the roaring and tossing of the sea.",,,,
E077:c077,77,0,yes,john,John John 12:45-50,"[John] When he looks at me, he sees the one who sent me. I have come into the world as a light, so that no one who believes in me should stay in darkness. ""As for the person who hears my words but does not keep them, I do not judge him. For I did not come to judge the world, but to save it. There is a judge for the one who rejects me and does not accept my words; that very word which I spoke will condemn him at the last day. For I did not speak of my own accord, but the Father who sent me commanded me what to say and how to say it. I know that his command leads to eternal life. So whatever I say is just what the Father has told me to say.""","When he looks at me, he sees the one who sent him, and he has come into the world as a light, so that no one who believes in him should stay in darkness. He states that for the person who hears his words but does not keep them, he did not judge him, because he came to save the world, and there is a judge for the one who rejects him and does not accept his words; that very word which he spoke will condemn him at the last day. He clarifies that he did not speak of his own accord, but the Father who sent him commanded him what to say and how to say it, leading to eternal life, so whatever he says is just what the Father has told him to say.",,,,
E078:c078,78,0,,john,John John 13:1,"[John] It was just before the Passover Feast. Jesus knew that the time had come for him to leave this world and go to the Father. Having loved his own who were in the world, he now showed them the full extent of his love.","It was just before the Passover Feast. Jesus knew that the time had come for him to leave this world and go to the Father. Having loved his own who were in the world, he now showed them the full extent of his love.",,,,
E079:c079,79,0,,john,John John 13:2-4,"[John] The evening meal was being served, and the devil had already prompted Judas Iscariot, son of Simon, to betray Jesus. Jesus knew that the Father had put all things under his power, and that he had come from God and was returning to God; so he got up from the meal, took off his outer clothing, and wrapped a towel around his waist.","The evening meal was being served when the devil, having prompted Judas Iscariot, son of Simon, to betray Jesus, and Jesus knew that the Father had put all things under his power, and that he had come from God and was returning to God; so he got up from the meal, took off his outer clothing, and wrapped a towel around his waist.",,,,
E080:c080,80,0,yes,john,John John 13:5-6,"[John] After that, he poured water into a basin and began to wash his disciples' feet, drying them with the towel that was wrapped around him. He came to Simon Peter, who said to him, ""Lord, are you going to wash my feet?""","After that, he poured water into a basin and began to wash his disciples’ feet, drying them with the towel that was wrapped around him. He came to Simon Peter, who said to him, “Lord, are you going to wash my feet?”",,,,
E081:c081,81,0,yes,john,John John 13:7-8,"[John] Jesus replied, ""You do not realize now what I am doing, but later you will understand."" ""No,"" said Peter, ""you shall never wash my feet."" Jesus answered, ""Unless I wash you, you have no part with me.""","Jesus replied, “You do not realize now what I am doing, but later you will understand,” and then Peter responded, “No, you shall never wash my feet.” Jesus answered, “Unless I wash you, you have no part with me.”",,,,
E082:c082,82,0,yes,john,John John 13:9,"[John] ""Then, Lord,"" Simon Peter replied, ""not just my feet but my hands and my head as well!""","Then, Lord, Simon Peter replied, “not just my feet but my hands and my head as well!” It was immediately followed by the statement that it had begun with his feet.",,,,
E083:c083,83,-3,,matthew,Matthew Matthew 24:20,[Matthew] Pray that your flight will not take place in winter or on the Sabbath.,"Pray that your flight will not take place in winter or on the Sabbath. The aircraft was approaching the runway when a sudden and violent gust of wind struck it, causing it to veer sharply off course. Passengers reported a loud bang followed by a brief period of darkness, and the pilot immediately initiated emergency procedures. The crew attempted to regain control but the aircraft continued its descent at an alarming rate, impacting the ground with considerable force. Following the impact, there was a rapid loss of pressure and smoke filled the cabin.",,,,
E084:c084,84,-2,,mark,Mark Mark 13:19-24; Matthew Matthew 24:21-26; John John 13:10-11,"[Mark] because those will be days of distress unequaled from the beginning, when God created the world, until now--and never to be equaled again. If the Lord had not cut short those days, no one would survive. But for the sake of the elect, whom he has chosen, he has shortened them. At that time if anyone says to you, 'Look, here is the Christ!' or, 'Look, there he is!' do not believe it. For false Christs and false prophets will appear and perform signs and miracles to deceive the elect--if that were possible. So be on your guard; I have told you everything ahead of time. ""But in those days, following that distress, ""'the sun will be darkened, and the moon will not give its light;  ||  [Matthew] For then there will be great distress, unequaled from the beginning of the world until now--and never to be equaled again. If those days had not been cut short, no one would survive, but for the sake of the elect those days will be shortened. At that time if anyone says to you, 'Look, here is the Christ!' or, 'There he is!' do not believe it. For false Christs and false prophets will appear and perform great signs and miracles to deceive even the elect--if that were possible. See, I have told you ahead of time. ""So if anyone tells you, 'There he is, out in the desert,' do not go out; or, 'Here he is, in the inner rooms,' do not believe it.  ||  [John] Jesus answered, ""A person who has had a bath needs only to wash his feet; his whole body is clean. And you are clean, though not every one of you."" For he knew who was going to betray him, and that was why he said not every one was clean.","Because those will be days of distress unequaled from the beginning, when God created the world, until now—and never to be equaled again, if those days had not been cut short, no one would survive, but for the sake of the elect those days will be shortened. At that time if anyone says to you, ‘Look, here is the Christ!’ or, ‘Look, there he is!’ do not believe it; for false Christs and false prophets will appear and perform great signs and miracles to deceive even the elect—if that were possible. See, I have told you ahead of time. A person who has had a bath needs only to wash his feet; his whole body is clean. And you are clean, though not every one of you.”",,,,
